address,latitude,longitude,floorSize,price,url
"6627 Emmet Ter, Los Angeles, CA 90068",34.106422,-118.3344,"1,642","$2,200,000",https://www.zillow.com/homedetails/6627-Emmet-Ter-Los-Angeles-CA-90068/20803810_zpid/
"6809 Iris Cir, Los Angeles, CA 90068",34.11002,-118.332825,"3,300","$1,995,000",https://www.zillow.com/homedetails/6809-Iris-Cir-Los-Angeles-CA-90068/20804086_zpid/
"9702 Cisco St, Los Angeles, CA 90034",34.043575,-118.39799,"1,943","$1,995,000",https://www.zillow.com/homedetails/9702-Cisco-St-Los-Angeles-CA-90034/20494426_zpid/
"3350 N Knoll Dr, Los Angeles, CA 90068",34.129566,-118.34413,"2,908","$2,395,000",https://www.zillow.com/homedetails/3350-N-Knoll-Dr-Los-Angeles-CA-90068/20805581_zpid/
"8000 Wisner Ave, Panorama City, CA 91402",34.216053,-118.46243,790,"$420,000",https://www.zillow.com/homedetails/8000-Wisner-Ave-Panorama-City-CA-91402/19955423_zpid/
"1244 Ozeta Ter, West Hollywood, CA 90069",34.092346,-118.38623,"4,070","$3,490,000",https://www.zillow.com/homedetails/1244-Ozeta-Ter-West-Hollywood-CA-90069/2067399294_zpid/
"2150 Malcolm Ave, Los Angeles, CA 90025",34.045277,-118.42982,"1,302","$1,850,000",https://www.zillow.com/homedetails/2150-Malcolm-Ave-Los-Angeles-CA-90025/20501716_zpid/
"848 N Coronado St, Los Angeles, CA 90026",34.077827,-118.26986,"1,897","$1,329,000",https://www.zillow.com/homedetails/848-N-Coronado-St-Los-Angeles-CA-90026/325797611_zpid/
"4701 Balboa Ave, Encino, CA 91316",34.15646,-118.50508,"8,815","$14,750,000",https://www.zillow.com/homedetails/4701-Balboa-Ave-Encino-CA-91316/19993404_zpid/
"6429 Rhodes Ave, North Hollywood, CA 91606",34.187588,-118.40339,"1,588","$649,000",https://www.zillow.com/homedetails/6429-Rhodes-Ave-North-Hollywood-CA-91606/20009479_zpid/
"19454 Archwood St, Reseda, CA 91335",34.19195,-118.55767,"1,052","$950,000",https://www.zillow.com/homedetails/19454-Archwood-St-Reseda-CA-91335/19923986_zpid/
"9165 Cordell Dr, Los Angeles, CA 90069",34.094955,-118.39133,"7,441","$17,995,000",https://www.zillow.com/homedetails/9165-Cordell-Dr-Los-Angeles-CA-90069/20799241_zpid/
"771-775 E 42nd Pl, Los Angeles, CA 90011",,,"1,340","$650,000",https://www.zillow.com/homedetails/771-775-E-42nd-Pl-Los-Angeles-CA-90011/2070028969_zpid/
"6113 Vesper Ave, Van Nuys, CA 91411",34.18135,-118.45107,728,"$574,920",https://www.zillow.com/homedetails/6113-Vesper-Ave-Van-Nuys-CA-91411/19971248_zpid/
"14132 Beresford Rd, Beverly Hills, CA 90210",34.133316,-118.44131,"6,758","$9,995,000",https://www.zillow.com/homedetails/14132-Beresford-Rd-Beverly-Hills-CA-90210/19987322_zpid/
"4319 Redwood Ave Unit 3, Marina Del Rey, CA 90292",33.986927,-118.43817,"1,398","$899,000",https://www.zillow.com/homedetails/4319-Redwood-Ave-UNIT-3-Marina-Del-Rey-CA-90292/20435346_zpid/
